isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500,abs_affected,abs_biodiversity,abs_climate,abs_conduct,abs_consumers,abs_governance,abs_oth,abs_ownworkforce,abs_pollution,abs_waste,abs_water,abs_workersvalchain,rel_affected,rel_biodiversity,rel_climate,rel_conduct,rel_consumers,rel_governance,rel_oth,rel_ownworkforce,rel_pollution,rel_waste,rel_water,rel_workersvalchain,abs_oenworkforce,rel_oenworkforce
AT0000831706,601.0,679.0,422.0,87.0,353786.0,52341.0,2419.4,308.43,14844.0,2089.7,1400.0,83.0,0.0,222640.0,8580.0,20570.0,110.0,Wienerberger,Austria,Deloitte,Construction Materials,3056880497.3,2.0,5.741197149462181,6.486310922603695,13.373836953822051,0.7928774765480217,0.0,1470.0,1486.0,3785.0,506.0,1423.0,5442.0,695.0,4249.0,678.0,3218.0,1038.0,3061.0,0.0543417988244427,0.0549332741857972,0.1399208901704188,0.0187054083028353,0.0526043399504639,0.201175557280692,0.0256922110088351,0.1570736756496987,0.025063768437396,0.1189604820524195,0.0383719640678718,0.1131566300691286,0.0,0.0
AT0000938204,417.0,447.0,370.0,37.0,259970.0,40888.0,2178.55,949.28,9762.0,1396.4,2041.0,70.0,1.9042988620108208,190256.0,10058.0,18800.0,94.0,Mayr Melnhof Karton,Austria,PwC,Containers & Packaging,1648038400.0,2.0,5.099295636861672,5.466151438074741,24.95842300919585,0.855996869497163,0.0232867694924038,948.0,896.0,2177.0,896.0,908.0,4137.0,868.0,1998.0,418.0,2197.0,660.0,2564.0,0.0507848074141533,0.0479991428724487,0.1166229174479027,0.0479991428724487,0.048641988535919,0.2216210424813842,0.0464991696576846,0.1070338029678041,0.0223924572775486,0.1176943268870198,0.0353565114908662,0.1373546900948197,0.0,0.0
AT0000946652,732.0,1180.0,844.0,79.0,447108.0,65478.0,5217.9,-1333.46,18622.0,3707.2,1861.0,14.0,0.7372208116093037,412896.0,13056.0,54468.0,204.0,Schoeller-Bleckmann Oilfield Equipment,Austria,KPMG,Oil & Gas – Services,486163105.41,1.0,5.589663703839458,9.01066006903082,14.210879990225726,0.10690613641223,0.0056295306179885,2348.0,1459.0,3638.0,998.0,2038.0,8546.0,1368.0,4900.0,468.0,2244.0,1314.0,6500.0,0.065548142151252,0.0407302978699645,0.1015605371151,0.0278607520728064,0.0568940007258312,0.2385751374891823,0.0381898886128248,0.1367912676921359,0.0130649618938611,0.0626448172859495,0.036682393009687,0.1814578040814047,0.0,0.0
AT0000APOST4,709.0,678.0,535.0,81.0,427187.0,65686.0,2354.75,1437.53,15130.0,1987.6,3174.0,72.0,0.0014976088082482,234784.0,6032.0,19372.0,116.0,Austrian Post,Austria,BDO,Air Freight & Logistics,2013998136.7,2.0,5.39688822580154,5.1609170903997805,24.16039947629632,0.5480619919008616,1.1399756479677557e-05,1239.0,900.0,3685.0,683.0,2355.0,8672.0,2093.0,6597.0,181.0,1371.0,505.0,3247.0,0.0392984014209591,0.0285460543009388,0.1168802334432885,0.0216632834306013,0.0746955087541233,0.2750570921086018,0.0663854351687389,0.2092425780258817,0.0057409286982999,0.0434851560517635,0.0160175082466379,0.1029878203501649,0.0,0.0
AT000ADDIKO0,850.0,746.0,570.0,99.0,390058.0,65532.0,3829.09,-818.84,14729.0,2663.9,3766.0,239.0,5.683841243295636,281336.0,4587.0,23769.0,139.0,Addiko Bank,Austria,KPMG,Commercial Banks,393331173.15,1.0,6.48538118781664,5.691875724836721,28.734053592138192,1.82353659280962,0.0433669142044774,2702.0,487.0,2057.0,509.0,3549.0,8306.0,2668.0,6124.0,93.0,1141.0,566.0,1648.0,0.0905192629815745,0.0163149078726968,0.0689112227805695,0.0170519262981574,0.118894472361809,0.2782579564489112,0.0893802345058626,0.2051591289782244,0.0031155778894472,0.0382244556113902,0.0189614740368509,0.0552093802345058,0.0,0.0
BE0003739530,525.0,775.0,358.0,134.0,300630.0,44755.0,1801.47,83.11000000000006,11978.0,1466.9,1384.0,114.0,5.0443265956971794,165968.0,4592.0,11234.0,82.0,UCB,Belgium,Forvis Mazars,Biotechnology & Pharmaceuticals,37811871127.0,5.0,5.865266450675902,8.658250474807284,15.46195955759133,1.27360071500391,0.056354894377133,1477.0,952.0,1606.0,694.0,2884.0,4441.0,995.0,3930.0,489.0,2080.0,620.0,3165.0,0.0633009042986328,0.0408005828654695,0.0688295547079244,0.0297432820468863,0.1236017657395105,0.1903312904470064,0.0426434663352333,0.168430977585394,0.0209574422491749,0.0891441306304375,0.0265718081686881,0.1356447949256418,0.0,0.0
BE0003789063,502.0,655.0,372.0,39.0,221784.0,33556.0,1006.56,661.41,8297.0,910.8,1340.0,97.0,1.329238991290392,109296.0,2646.0,5508.0,54.0,Deceuninck,Belgium,PwC,Building Products & Furnishings,347305772.31,1.0,7.480033377041364,9.759804505900584,19.96662295863631,1.4453450947669568,0.0198062789261293,789.0,395.0,2090.0,226.0,1154.0,3935.0,633.0,2502.0,289.0,2551.0,568.0,1700.0,0.046875,0.0234672053231939,0.1241682509505703,0.0134268060836501,0.0685598859315589,0.2337808935361216,0.037606939163498,0.1486454372623574,0.0171696768060836,0.1515565589353612,0.0337452471482889,0.1009980988593155,0.0,0.0
BE0003797140,3679.0,4966.0,3640.0,612.0,2210056.0,329538.0,11032.47,7398.19,79482.0,11378.5,14436.0,358.0,4.637382111109156,1242736.0,614.0,376996.0,614.0,GBL Groupe Bruxelles Lambert,Belgium,PwC,Asset Management & Custody Activities,8773068658.0,3.0,5.58205730446868,7.534791131826982,21.90339202155745,0.5431847010056503,0.0070361871940552,10074.0,7303.0,18042.0,2672.0,14327.0,52315.0,4763.0,30711.0,1457.0,10380.0,3292.0,17151.0,0.0584044014911268,0.0423394226811295,0.1045991871851211,0.0154910225118414,0.0830613321583655,0.303298219575968,0.0276136752334958,0.1780482007339683,0.0084470133981111,0.0601784482308811,0.0190854962982717,0.0994335805017189,0.0,0.0
BE0003837540,920.0,739.0,461.0,63.0,388462.0,58551.0,2977.47,752.9100000000001,16499.0,2386.0,1890.0,121.0,30.960205569899333,281336.0,22796.0,41978.0,139.0,Atenor,Belgium,BDO,Home Builders,152846595.11,1.0,7.856398695154652,6.310737647520964,16.13977558026336,1.0332872196888183,0.2643866506968227,2463.0,1654.0,4081.0,356.0,1734.0,8011.0,1701.0,3645.0,593.0,2673.0,654.0,2009.0,0.0832826131061067,0.0559275038885507,0.1379928315412186,0.0120376005951173,0.0586325826739703,0.2708798268749577,0.0575167376749847,0.1232501521606816,0.0200513964969229,0.0903834449178332,0.0221140190708054,0.0679312909988503,0.0,0.0
BE0974276082,591.0,605.0,378.0,74.0,247680.0,35238.0,1585.68,1004.64,10650.0,1572.1,1318.0,37.0,7.389686913804054,180136.0,13439.0,21271.0,89.0,Ontex,Belgium,PwC,Household & Personal Products,704268702.78,1.0,8.385833475225608,8.584482660763948,18.7014018956808,0.5250014189227539,0.1048539490578928,982.0,253.0,1363.0,426.0,2055.0,4251.0,676.0,3576.0,76.0,1620.0,325.0,3548.0,0.0512766957339042,0.0132107983917288,0.0711712182131481,0.0222442692287609,0.1073051015612761,0.2219727429377056,0.0352984178371886,0.1867265416949506,0.003968461176962,0.0845908829826118,0.016970393190956,0.1852644770508067,0.0,0.0
