words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry
822,829,622,394,408680,61070,2110.98,563.98,16456,1852.7,1930,113,2.60919373795854,208472,5047.0,15553.0,103,Fresenius Medical,Germany,PwC,Health Care Delivery
390,267,317,70,242162,36643,1758.05,-509.49,9470,1172.0,785,84,0.4754999452396163,131560,5070.0,9230.0,65,Deutsche Börse,Germany,PwC,Security & Commodity Exchange
959,834,738,83,519805,79039,2802.93,5094.19,20828,3131.1,4958,10,4.065001326204984,400752,33066.0,72072.0,198,Bilfinger    ,Germany,PwC,Industrial Machinery & Goods
595,835,613,120,382165,57887,3512.51,-2440.29,13558,1864.9,1638,79,0.7539041386241868,224664,13320.0,25530.0,111,Covestro,Germany,KPMG,Chemicals
1483,1244,614,158,676657,98660,4850.83,766.02,27544,4237.3,2340,387,10.157878282179912,475640,22090.0,77080.0,235,Hochtief,Germany,Deloitte,Engineering & Construction Services
533,621,518,50,403761,59523,2336.54,186.67,15413,1889.0,1410,53,0.0,208472,10609.0,21115.0,103,Salzgitter,Germany,EY,Iron & Steel Producers
426,507,509,71,302964,45972,2030.29,-435.5,11240,1093.4,1866,52,0.0,151800,2700.0,8250.0,75,Jungheinrich,Germany,PwC,Industrial Machinery & Goods
779,584,532,110,376146,61957,2156.91,5046.7,12764,1999.4,12641,3,4.560152743568308,297528,16758.0,38220.0,147,ProCredit Holding,Germany,BDO,Commercial Banks
1293,1386,914,264,689361,104974,4093.33,783.76,26252,3287.7,1951,16,2.4542525582174304,390632,20072.0,57128.0,193,Merck,Germany,Deloitte,Biotechnology & Pharmaceuticals
940,1012,614,244,558326,88283,3753.6,1032.24,20844,2760.1,3864,82,1.521409410251606,348128,10492.0,39904.0,172,GEA,Germany,PwC,Industrial Machinery & Goods
917,1138,613,220,459695,67957,3761.74,-885.6899999999999,18947,2433.3,2698,96,2.402852630349801,291456,7488.0,28080.0,144,Puma ,Germany,KPMG,"Apparel, Accessories & Footwear"
354,507,427,86,282762,43500,2267.71,-1995.76,10340,901.4,1137,53,0.1919867366291568,123464,5551.0,9211.0,61,Rheinmetall,Germany,Deloitte,Aerospace & Defence
385,475,380,69,304333,47410,2629.27,195.83000000000004,12168,1878.1,2494,76,0.0057672150608818,228712,8362.0,21018.0,113,RWE,Germany,Deloitte,Electric Utilities & Power Generators
753,784,617,193,494711,72924,4242.71,-2652.74,18589,2473.4,1658,38,0.0,293480,16240.0,37120.0,145,Mercedes-Benz,Germany,PwC,Automobiles
658,665,389,272,397264,60505,2518.1,481.21,15175,2064.1,1499,118,0.6832535573512655,230736,13338.0,26220.0,114,SAP,Germany,BDO,Software & IT Services
305,592,371,48,261975,39132,1874.47,991.62,9578,1845.6,1553,64,0.0,202400,11100.0,21000.0,100,Sartorius,Germany,PwC,Medical Equipment & Supplies
1115,1420,902,240,807820,122800,4900.43,2471.38,29875,3982.1,2925,71,5.443211622194398,485760,55200.0,112560.0,240,Volkswagen,Germany,EY,Automobiles
1070,1097,1124,217,589314,87973,3461.12,-827.9599999999999,21622,2532.0,1755,15,0.0256827983799295,271216,13400.0,31222.0,134,Deutsche Lufthansa,Germany,EY,Airlines
933,1241,1164,310,660527,97919,2423.55,907.62,22032,2418.7,2625,129,0.3356489534379518,269192,7315.0,24871.0,133,Allianz,Germany,PwC,Insurance
525,712,773,127,429169,65433,3447.56,-2967.7,14042,1882.6,2146,71,0.0935167500289676,208472,6283.0,16789.0,103,Munich Re,Germany,EY,Insurance
751,941,494,121,420798,61325,3610.84,-1780.97,17016,2111.8,1717,61,2.9650204614273283,263120,11830.0,28600.0,130,Nordex,Germany,KPMG,Wind Technology & Project Developers
667,812,493,75,391737,58397,2643.41,-663.4699999999999,14807,1775.9,1749,15,0.0,208472,11433.0,21939.0,103,MTU Aero Engines,Germany,KPMG,Aerospace & Defence
440,330,299,53,227100,35057,2110.11,203.65,8751,1341.7,1579,62,4.005606337231409,176088,10005.0,17487.0,87,AIXTRON,Germany,KPMG,Semiconductors
363,669,519,39,320893,49194,1235.13,1679.42,11557,1363.6,2167,22,0.0,153824,4560.0,10260.0,76,freenet,Germany,KPMG,Telecommunication Services
393,357,289,50,206032,31250,1460.77,-248.01000000000008,7782,948.9,1058,29,0.1729297213546165,111320,2805.0,5775.0,55,Scout24,Germany,PwC,Internet Media & Services
341,430,243,127,219218,33329,1371.86,346.04,8136,964.0,2030,49,0.0,123464,6283.0,9943.0,61,Brenntag,Germany,Deloitte,Chemicals
1359,1781,918,297,696859,104031,4642.62,1095.37,28720,4030.5,3051,96,16.392122276585855,441232,30520.0,77826.0,218,adidas,Germany,PwC,"Apparel, Accessories & Footwear"
750,801,534,55,398791,59052,2778.4,-2035.65,14430,1479.7,1470,33,0.0,174064,3698.0,11008.0,86,Telefónica Deutschland,Germany,PwC,Telecommunication Services
935,762,485,42,432828,66278,1910.38,1897.82,16464,1800.1,2378,6,0.0,218592,5616.0,17172.0,108,Vonovia,Germany,PwC,Real Estate
421,374,316,68,216400,33126,1093.68,1242.35,8579,1140.7,1195,43,0.0,129536,5568.0,9600.0,64,Jenoptik,Germany,EY,Hardware
279,218,230,52,153261,22594,1492.92,-871.22,6089,869.9,1393,38,0.0,107272,2332.0,5088.0,53,TeamViewer,Germany,PwC,Software & IT Services
941,1108,673,446,607610,92128,3679.76,1573.65,24120,3025.1,2355,55,0.9140725162023036,366344,26607.0,59187.0,181,BASF,Germany,Deloitte,Chemicals
1056,1192,764,248,564761,84450,2397.83,2321.46,21383,2597.6,2561,37,0.0,291456,13968.0,34560.0,144,Bayer,Germany,Deloitte,Biotechnology & Pharmaceuticals
1192,1090,1219,213,824616,145676,6494.33,1501.72,27625,3839.4,14099,220,0.9128279770724482,516120,12495.0,77265.0,255,Commerzbank,Germany,KPMG,Commercial Banks
599,676,455,170,377394,56740,1908.88,1042.21,13865,1615.3,1562,210,5.036655800960452,198352,6370.0,15876.0,98,Daimler Truck,Germany,KPMG,Industrial Machinery & Goods
1252,1069,963,386,917229,163784,6374.73,6378.79,29744,5970.1,12186,290,0.0,647680,63360.0,165440.0,320,DZ BANK,Germany,PwC,Commercial Banks
641,715,388,88,378502,56756,677.04,1545.65,13855,808.9,1323,42,0.4581897037387435,109296,1674.0,4536.0,54,E.ON,Germany,KPMG,Electric Utilities & Power Generators
761,882,656,162,483006,75627,2160.42,3121.8,18020,2260.7,3348,124,2.632112801847634,269192,12369.0,29925.0,133,Evonik,Germany,KPMG,Chemicals
377,407,307,82,226837,34348,842.55,1362.46,8338,971.3,1085,24,0.5415330231428432,119416,3127.0,6549.0,59,Hensoldt,Germany,KPMG,Semiconductors
862,1350,657,211,521623,79025,3666.64,1613.89,20559,3090.1,3272,39,0.0129551706636664,354200,20650.0,51100.0,175,Hapag Lloyd,Germany,KPMG,Marine Transportation
546,595,423,123,325285,49740,2170.73,-242.87,12738,1246.1,1396,3,0.0,159896,4187.0,10349.0,79,Knorr-Bremse,Germany,KPMG,Industrial Machinery & Goods
471,786,652,176,422364,65550,2658.32,1784.15,15687,2340.0,2028,161,0.5107397620512154,263120,14430.0,31200.0,130,KION Group,Germany,KPMG,Industrial Machinery & Goods
543,637,493,77,379229,58052,1659.61,1619.3,13125,1671.8,2320,73,0.2243049297480949,190256,6862.0,15604.0,94,K+S,Germany,PwC,Chemicals
394,457,387,36,247439,37704,1256.0,1180.94,9066,1259.1,1571,72,0.4265622739431759,143704,8591.0,13561.0,71,LEG Immobilien,Germany,Deloitte,Real Estate
770,1018,687,123,748060,114713,1517.17,1439.23,23506,1623.6,2188,128,2.5883637965034216,180136,7565.0,15397.0,89,Porsche,Germany,EY,Automobiles
412,520,293,121,319913,48040,1626.8,930.42,11844,1537.9,1580,56,1.1129915815488003,176088,11745.0,19227.0,87,ProSiebenSat.1 Media,Germany,PwC,Media & Entertainment
395,550,373,79,230918,36754,1357.27,1142.16,8595,1296.0,1286,6,0.0,143704,5396.0,10366.0,71,RENK Group,Germany,PwC,Industrial Machinery & Goods
1037,1102,951,179,540031,82716,2429.36,376.94,18179,2050.3,3021,32,0.020339063665464,212520,9240.0,20160.0,105,Talanx,Germany,PwC,Insurance
713,1080,704,129,526530,79528,3180.38,1754.02,19737,2706.9,2498,42,0.0,321816,16377.0,41499.0,159,Uniper,Germany,PwC,Electric Utilities & Power Generators
529,768,449,113,318203,47654,2573.02,-106.00000000000006,12522,1790.1,1142,0,1.6733369454832574,218592,13176.0,24732.0,108,WACKER Chemie,Germany,PwC,Chemicals
821,824,493,94,397991,59446,2696.86,933.09,16267,2244.2,2540,139,0.011049045776447,265144,20698.0,37728.0,131,Zalando,Germany,KPMG,E-Commerce
413,350,522,37,321858,61028,2977.63,-861.22,10120,1634.3,3710,45,7.396759476676479,200376,2970.0,12672.0,99,Nykredit,Denmark,EY,Commercial Banks
462,589,414,102,289601,44209,1503.57,-231.8,10382,1072.2,1508,72,10.621406346768971,119416,3068.0,6490.0,59,Carlsberg,Denmark,PwC,Alcoholic Beverages
441,620,294,42,271555,40945,2599.01,-758.22,10799,1659.2,1568,82,10.891592706969334,196328,3395.0,12707.0,97,Copenhagen Airport,Denmark,Deloitte,Professional & Commercial Services
368,576,351,59,231713,34297,1824.25,52.57000000000003,9122,1332.2,1307,59,7.9973092698099455,161920,3440.0,9760.0,80,Rockwool,Denmark,PwC,Building Products & Furnishings
396,550,263,74,203565,30660,1883.29,-610.6999999999999,8035,1073.8,1319,95,9.50910250332645,141680,4620.0,9450.0,70,FLSmidth,Denmark,EY,Engineering & Construction Services
597,705,407,192,329308,50391,1510.32,1457.51,12590,1521.4,1758,148,8.935163589500315,167992,4399.0,11205.0,83,Mærsk,Denmark,PwC,Marine Transportation
446,869,422,31,310261,48144,1288.38,991.93,11013,1122.6,1687,79,4.227981878723623,131560,2340.0,6500.0,65,MT Højgaard Holding,Denmark,EY,Engineering & Construction Services
504,386,303,158,213364,31723,1505.28,-685.54,8277,1110.7,1062,32,3.510165732455175,115368,4617.0,7809.0,57,Genmab,Denmark,Deloitte,Biotechnology & Pharmaceuticals
341,608,288,69,247757,39341,1710.94,-45.29000000000005,8989,1117.5,1372,30,9.513634764580924,131560,2600.0,6760.0,65,GN Store Nord,Denmark,PwC,Medical Equipment & Supplies
548,781,875,107,407196,63390,2178.06,-122.54999999999998,12141,1319.4,8302,228,2.390715092531398,170016,3276.0,10248.0,84,Danske Bank,Denmark,Deloitte,Commercial Banks
253,336,225,11,159020,24447,1685.38,-1232.26,5417,773.2,1234,102,9.151209022693909,111320,2145.0,5115.0,55,Solar,Denmark,Deloitte,Solar Technology & Project Developers
256,390,210,40,177611,26659,1126.8,656.16,6804,1001.2,935,59,6.168493256464571,121440,3240.0,6780.0,60,NKT,Denmark,PwC,Electrical & Electronic Equipment
330,503,384,65,225996,33831,2186.69,-1442.77,9408,1179.1,878,53,7.937283425555536,145728,2880.0,7992.0,72,Bavarian Nordic,Denmark,KPMG,Biotechnology & Pharmaceuticals
610,526,321,81,300871,44154,2052.86,-636.28,10909,1720.5,1964,181,6.68130404725979,188232,4464.0,13020.0,93,European Energy,Denmark,KPMG,Wind Technology & Project Developers
315,369,215,29,234653,37116,1337.33,466.63,7861,886.0,1200,49,3.1052195404442453,121440,3120.0,6660.0,60,Spar Nord Bank,Denmark,Deloitte,Commercial Banks
254,357,174,127,180154,27483,712.5,762.67,6750,759.1,1098,46,2.072396199564108,87032,1806.0,3612.0,43,DSV,Denmark,PwC,Air Freight & Logistics
803,986,566,153,398300,63001,2503.04,-332.3299999999999,14212,1618.6,2649,139,3.439371184242897,204424,5656.0,15756.0,101,Ørsted,Denmark,PwC,Electric Utilities & Power Generators
246,258,140,57,149431,22534,1696.08,-1255.64,5711,836.2,971,44,6.778765083861636,111320,2585.0,5555.0,55,Pandora,Denmark,EY,"Apparel, Accessories & Footwear"
382,357,224,52,171430,26093,1740.68,-269.06000000000006,6913,1033.5,950,25,4.58727263052516,141680,3500.0,8330.0,70,Novonesis,Denmark,EY,Biotechnology & Pharmaceuticals
391,563,260,130,223617,34759,1496.62,-566.9799999999999,8323,812.1,1136,44,5.049822918163149,105248,2652.0,5304.0,52,ISS,Denmark,PwC,Professional & Commercial Services
354,489,296,57,195669,29995,1828.87,134.18999999999997,7752,1232.8,1096,59,5.058416544401752,151800,2625.0,8175.0,75,NNIT,Denmark,EY,Software & IT Services
318,432,272,48,211817,32289,1546.94,268.3,8850,1091.8,1094,41,8.79696219257116,141680,4970.0,9800.0,70,Royal Unibrew,Denmark,Deloitte,Alcoholic Beverages
387,725,365,47,242826,36918,1610.35,762.1899999999999,9366,1326.7,1261,56,19.890863543754826,159896,4187.0,10349.0,79,Tryg,Denmark,PwC,Insurance
387,533,344,44,238158,36553,1714.6,133.25000000000006,8923,1221.4,1438,76,3.9259078225427606,149776,4588.0,9990.0,74,DFDS,Denmark,PwC,Marine Transportation
375,348,240,81,180982,28335,1964.43,-792.56,6909,884.6,1316,78,8.131908257900061,133584,3432.0,7722.0,66,Demant,Denmark,PwC,Medical Equipment & Supplies
462,417,333,43,313083,55359,2466.23,872.6400000000001,8896,1756.4,11024,140,0.9851127373429778,200376,5247.0,14949.0,99,Ringkjøbing Landbobank,Denmark,PwC,Commercial Banks
391,613,306,84,236057,35528,1658.22,-48.190000000000026,8638,1243.2,1547,133,4.386484898762387,143704,4331.0,9301.0,71,Nilfisk,Denmark,Deloitte,Industrial Machinery & Goods
273,594,192,61,239276,35853,2754.8,-1642.89,9697,1486.6,1266,98,11.728177755458791,188232,5766.0,14322.0,93,Netcompany,Denmark,EY,Internet Media & Services
808,931,600,147,398136,60610,1497.55,917.44,14485,1344.0,1613,33,7.928247664566199,165968,4182.0,10824.0,82,Vestas,Denmark,Deloitte,Wind Technology & Project Developers
297,529,282,52,194846,29754,1927.4,-556.9,7474,1203.8,1459,55,4.389749255977294,141680,2520.0,7350.0,70,ALK,Denmark,PwC,Biotechnology & Pharmaceuticals
391,678,296,118,283121,42681,1851.44,298.94,11146,1453.2,1557,66,3.348239958893551,174064,5074.0,12384.0,86,Lundbeck,Denmark,PwC,Biotechnology & Pharmaceuticals
457,722,282,162,281764,42786,953.57,742.6,10034,989.8,2136,104,3.182586146934603,109296,2484.0,5346.0,54,Novo Nordisk,Denmark,Deloitte,Biotechnology & Pharmaceuticals
437,449,367,37,224829,34912,1136.5,824.99,9017,1077.8,1431,121,0.3466105181657903,117392,1972.0,5278.0,58,TKM Grupp,Estonia,PwC,Food Retailers & Distributors
1918,1488,1201,208,1013836,155098,7423.61,1788.4,39602,5340.6,8694,760,8.995777946884546,613272,2121.0,93627.0,303,Aena,Spain,KPMG,Air Freight & Logistics
2080,1669,1224,332,853990,128016,6252.39,2491.35,35648,5191.7,7865,528,25.73289074815221,617320,27755.0,120475.0,305,Cellnex,Spain,Deloitte,Telecommunication Services
1092,1108,759,232,642441,93252,4273.72,1648.2,24630,3460.4,3281,329,11.744592457755685,425040,210.0,44100.0,210,Amadeus IT,Spain,EY,Software & IT Services
1783,1567,1542,516,1249490,200531,6744.75,1699.1,40945,6039.1,11676,302,9.265227811471645,688160,93500.0,208760.0,340,BBVA,Spain,EY,Commercial Banks
1143,1182,1325,351,757963,116959,4240.84,2243.36,26338,3361.0,13175,453,6.491850745049326,433136,3852.0,49434.0,214,Banco Santander,Spain,PwC,Commercial Banks
42,50,74,153,1024304,159216,9676.65,6003.26,52101,7392.9,7339,317,8.795838364375065,888536,7463.0,199745.0,439,Acciona,Spain,KPMG,Engineering & Construction Services
1787,1950,1501,333,810916,118639,4670.87,-634.0500000000001,31744,4227.1,2825,509,2.598868854909078,423016,31559.0,75031.0,209,EDP Renováveis,Portugal,PwC,Electric Utilities & Power Generators
1468,1531,1256,229,844643,126379,4721.61,3201.91,32553,4976.9,5399,143,8.236891357597669,536360,42665.0,112625.0,265,Endesa,Spain,KPMG,Electric Utilities & Power Generators
1647,1608,1096,265,820944,121878,4594.72,253.7,30880,3843.9,5438,369,9.142783315289202,441232,4578.0,51884.0,218,Enagas,Spain,EY,Oil & Gas – Midstream
1578,1443,1545,334,864173,130655,7152.18,6401.64,34846,6799.4,5219,178,47.46401306309382,785312,66348.0,216504.0,388,Caixabank,Spain,PwC,Commercial Banks
1399,1403,1234,247,835299,122739,9015.58,1747.55,34382,7093.3,5612,249,31.890812921258892,835912,413.0,170569.0,413,Iberdrola,Spain,KPMG,Electric Utilities & Power Generators
1520,1574,1199,329,907992,136038,5858.47,4937.72,34964,4801.7,4398,168,16.754296746739172,599104,25456.0,112776.0,296,Inditex,Spain,EY,"Apparel, Accessories & Footwear"
2417,1535,1341,268,1059966,174837,7791.07,-1725.14,37098,5193.1,6203,426,30.643246905192903,603152,8046.0,96552.0,298,Minor Hotels Europe & Americas,Spain,PwC,Hotels & Lodging
1259,1203,814,274,666825,98656,5337.4,1706.2,26163,3897.7,9775,340,21.335824467339148,475640,44415.0,99405.0,235,Grifols,Spain,Deloitte,Biotechnology & Pharmaceuticals
1324,1380,1240,287,915958,138826,4042.46,1774.78,32756,3903.1,6166,322,4.362557191847051,412896,16932.0,58344.0,204,Repsol ,Spain,PwC,Oil & Gas – Exploration & Production
899,1127,722,180,542944,91317,6446.81,-1304.31,19234,3449.8,12180,123,16.71393445851558,423016,46189.0,89661.0,209,Prosegur,Spain,EY,Professional & Commercial Services
489,560,336,165,313423,47573,1930.64,-746.91,11491,1267.5,2496,186,0.0905135866150662,139656,18216.0,22908.0,69,IAG,Spain,KPMG,Airlines
293,483,285,35,254914,37748,1589.29,166.85000000000002,8390,1285.0,1447,38,0.3088375611176043,143704,5183.0,10153.0,71,Kesko,Finland,Deloitte,Food Retailers & Distributors
657,663,435,74,297401,42732,2502.56,-2251.65,11730,1300.5,1274,65,5.290583101174051,159896,5767.0,11929.0,79,Tietoevry,Finland,Deloitte,Software & IT Services
531,605,484,107,314954,46344,2703.4,-915.96,11735,1695.9,1653,76,6.188929814795705,206448,2652.0,12954.0,102,Fiskars,Finland,EY,Appliance Manufacturing
502,743,528,147,331062,47646,2566.27,-2784.88,11861,1375.3,1671,36,1.1591109261553445,147752,2409.0,7665.0,73,Huhtamaki,Finland,KPMG,Containers & Packaging
791,1004,581,45,485528,76584,870.78,676.09,13066,901.0,4389,122,0.0,93104,644.0,2714.0,46,Metsä,Finland,KPMG,Pulp & Paper Products
1009,890,567,104,429899,63562,3908.55,-4000.25,14985,1830.7,2685,114,5.088346646452786,212520,9030.0,19950.0,105,Nokia,Finland,Deloitte,Hardware
382,355,311,101,223287,33938,740.25,934.8,7627,828.5,1208,64,0.3105972031942067,93104,4048.0,6118.0,46,Wärtsilä,Finland,PwC,Appliance Manufacturing
655,641,511,102,315952,46279,2121.77,-1228.79,11273,1322.9,1646,60,0.0,155848,6391.0,12243.0,77,Kemira,Finland,EY,Chemicals
640,532,410,65,327681,48854,2655.79,-814.27,12641,1668.9,1533,72,7.167912900912503,206448,3774.0,14076.0,102,Nokian Tyres,Finland,EY,Auto Parts
794,731,631,122,403996,58173,2042.45,-327.7700000000001,13809,1689.9,1290,19,0.0,172040,4080.0,11220.0,85,Konecranes,Finland,EY,Industrial Machinery & Goods
656,885,525,57,343090,51506,1418.92,-109.75999999999998,11829,1029.1,1740,49,58.01169118221102,119416,4071.0,7493.0,59,Stora Enso,Finland,PwC,Pulp & Paper Products
737,816,564,123,459305,71934,1371.7,226.92,14255,1069.3,2269,212,0.7712321304451876,123464,3843.0,7503.0,61,UPM,Finland,EY,Pulp & Paper Products
632,653,556,46,423199,65608,2024.84,256.18,12865,1721.4,3976,24,0.0,178112,1584.0,9240.0,88,HKFoods,Finland,EY,"Meat, Poultry & Dairy"
270,318,239,24,229524,34070,1659.76,-1266.9,8341,974.9,684,83,6.439225419029957,105248,4264.0,6916.0,52,Atria,Finland,Deloitte,"Meat, Poultry & Dairy"
404,715,503,77,354655,52341,1121.31,1250.01,11712,1315.4,3174,100,0.0,149776,2516.0,7918.0,74,Fortum,Finland,Deloitte,Electric Utilities & Power Generators
539,521,558,109,260555,37562,841.72,-849.6899999999999,8270,494.6,907,41,0.0,52624,130.0,780.0,26,Rapala VMC,Finland,Deloitte,Toys & Sporting Goods
448,663,336,58,289280,42450,1654.54,-510.73,10776,1098.9,1310,19,0.7999517094372743,133584,2442.0,6732.0,66,Elisa,Finland,EY,Telecommunication Services
535,537,430,87,275391,41018,1723.5,97.61,9882,1403.4,1393,26,7.351561816097797,159896,2449.0,8611.0,79,Etteplan,Finnland,KPMG,Industrial Machinery & Goods
456,563,399,75,248621,37077,1359.25,-491.9,8777,892.1,1010,54,0.5041190564977753,101200,5000.0,7450.0,50,Neste,Finland,KPMG,Oil & Gas – Refining & Marketing
357,335,284,72,170356,26059,1658.65,-594.8299999999999,5655,723.8,1466,56,6.638977669429812,109296,54.0,2916.0,54,Kone,Finland,EY,Industrial Machinery & Goods
553,908,650,72,313818,45705,2434.62,-1905.06,11580,1414.4,843,69,0.0,165968,2050.0,8692.0,82,Orion,Finland,KPMG,Medical Equipment & Supplies
932,827,1009,228,618781,102910,2333.27,1292.98,18487,2057.3,12693,162,1.9952378601567304,224664,9213.0,21423.0,111,Nordea,Finland,PwC,Commercial Banks
548,572,449,21,316938,48142,16258.81,-37835.1,10524,344.8,1117,42,3.812404207196628,133584,1914.0,6204.0,66,Sitowise,Finland,KPMG,Engineering & Construction Services
