isin,words_pos,words_neg,words_uncertain,words_complex,chars,words,fog,flesch,difficult_words,smog,nums,tables,imgsize,year,start,end,Sustainability_Page_Count,company,country,auditor,SASB_industry,market_cap_2024,Market_Cap_Cat,words_pos_500,words_neg_500,nums_500,tables_500,imgsize_500
BE0003797140,3679.0,4966.0,3640.0,612.0,2210056.0,329538.0,11032.47,7398.19,79482.0,11378.5,14436.0,358.0,4.637382111109156,1242736.0,614.0,376996.0,614.0,GBL Groupe Bruxelles Lambert,Belgium,PwC,Asset Management & Custody Activities,8773068658.0,3.0,5.58205730446868,7.534791131826982,21.90339202155745,0.5431847010056503,0.007036187194055247
BE0003837540,920.0,739.0,461.0,63.0,388462.0,58551.0,2977.47,752.9100000000001,16499.0,2386.0,1890.0,121.0,30.960205569899333,281336.0,22796.0,41978.0,139.0,Atenor,Belgium,BDO,Home Builders,152846595.11,1.0,7.856398695154652,6.310737647520964,16.13977558026336,1.0332872196888183,0.2643866506968227
BE0974276082,591.0,605.0,378.0,74.0,247680.0,35238.0,1585.68,1004.64,10650.0,1572.1,1318.0,37.0,7.389686913804054,180136.0,13439.0,21271.0,89.0,Ontex,Belgium,PwC,Household & Personal Products,704268702.78,1.0,8.385833475225608,8.584482660763948,18.7014018956808,0.5250014189227539,0.10485394905789282
BE0974293251,205.0,243.0,311.0,78.0,138471.0,21207.0,682.01,445.51,4977.0,662.6,928.0,37.0,0.2358525824885263,74888.0,5365.0,6697.0,37.0,AB InBev,Belgium,PwC,Alcoholic Beverages,87578953700.0,5.0,4.8333097562125715,5.729240345169048,21.879568067147638,0.872353468194464,0.005560724819364509
BE0974362940,445.0,412.0,248.0,46.0,244756.0,39428.0,1795.52,-1098.58,9298.0,846.1,1723.0,48.0,2.036491428840264,117392.0,4988.0,8294.0,58.0,Barco,Belgium,PwC,Hardware,961232820.2,1.0,5.643197727503297,5.224713401643503,21.849954347164452,0.6087044739778837,0.025825446749014207
BE0974464977,784.0,888.0,574.0,137.0,412105.0,61291.0,2407.3,1617.17,16372.0,2130.2,3209.0,119.0,0.0,261096.0,14577.0,31089.0,129.0,Syensqo,Belgium,EY,Chemicals,7556598368.9,3.0,6.395718784160807,7.24413045961071,26.178394870372486,0.9707787440244082,0.0
BMG1738J1247,561.0,870.0,472.0,112.0,305188.0,41855.0,2881.79,-2281.52,13142.0,1848.9,1540.0,57.0,12.276950456096198,218592.0,2916.0,14472.0,108.0,BW Offshore,Bermuda,KPMG,Marine Transportation,475797548.83,1.0,6.701708278580815,10.393023533628002,18.396846254927727,0.6809222315135588,0.1466605000130952
CH0198251305,1127.0,951.0,776.0,191.0,617936.0,94180.0,2829.96,417.82,23608.0,2591.2,2717.0,38.0,2.0924038487694663,267168.0,5676.0,22968.0,132.0,Coca Cola HBC,Switzerland,PwC,Non-Alcoholic Beverages,12383259319.0,3.0,5.983223614355489,5.04884264174984,14.424506264599701,0.20174134635803778,0.011108536041460322
CH0466642201,1311.0,1269.0,1075.0,201.0,666469.0,100142.0,3424.74,2316.7,26391.0,3367.5,4667.0,146.0,0.1913756152442233,374440.0,13320.0,47360.0,185.0,Helvetia,Switzerland,KPMG,Insurance,8709940255.8,3.0,6.545705098759761,6.336002875916199,23.30191128597392,0.7289648698847636,0.000955521236065903
CH1216478797,334.0,382.0,309.0,37.0,177214.0,27488.0,1922.02,-1622.44,6457.0,945.9,1309.0,32.0,2.438169667879774,113344.0,8344.0,11424.0,56.0,dsm-firmenich,Switzerland,KPMG,Chemicals,26836042914.0,4.0,6.075378346915017,6.948486612339931,23.81038998835856,0.5820721769499418,0.04434971019862802
DE0005140008,1125.0,1429.0,1109.0,322.0,610421.0,90676.0,3073.27,2251.04,23652.0,2933.0,2952.0,20.0,5.31859892347342,321816.0,35298.0,60420.0,159.0,Deutsche Bank,Germany,EY,Investment Banking & Brokerage,33506207181.0,5.0,6.203405531783493,7.879703559927655,16.277736115399886,0.11028276500948432,0.029327489762855773
DE0005190003,919.0,1048.0,919.0,225.0,672329.0,104002.0,3347.85,408.05000000000007,25248.0,2753.7,2220.0,59.0,1.1708829797072986,313720.0,14105.0,37975.0,155.0,BMW,Germany,PwC,Automobiles,46311539194.0,5.0,4.418184265687199,5.038364646833715,10.672871675544702,0.2836483913770889,0.005629136842115049
DE0005220008,505.0,726.0,367.0,60.0,407663.0,64344.0,1726.55,2982.52,13771.0,1920.3,2759.0,55.0,0.0,234784.0,14964.0,28304.0,116.0,EnBW Energie Baden-Wuerttemberg,Germany,BDO,Electric Utilities & Power Generators,16823347437.0,4.0,3.9242198184756933,5.641551659828423,21.439450453810768,0.427390277259729,0.0
DE0005439004,627.0,1067.0,758.0,153.0,498618.0,74785.0,2411.92,930.03,16677.0,2320.9,1836.0,246.0,0.0013103153300221,253000.0,12250.0,27750.0,125.0,Continental,Germany,PwC,Auto Parts,13420734269.0,4.0,4.1920171157317645,7.133783512736511,12.275188874774354,1.6447148492344723,8.760549107589089e-06
DE0005470405,734.0,975.0,738.0,225.0,485651.0,74277.0,3335.63,421.5,18381.0,2522.4,2201.0,41.0,0.0,279312.0,12006.0,30912.0,138.0,Lanxess,Germany,KPMG,Chemicals,2107714637.8,2.0,4.940964228496035,6.563269922048548,14.816161126593697,0.27599391467075945,0.0
